pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,e_count,s_count
Marquard Schenk von Castell,#,18.01.1685,#,#,1685,Aufenthalt wegen Krankheit,#,#,Kartause Prül vor den Toren von Regensburg,1,Germany,Kartause Prül vor den Toren von Regensburg Germany,49.0134297,12.1016236,"genaues Datum nicht bekannt: Fomulierung in der Literatur als ""in seinen letzten Lebensjahren""",Reiter: Marquard II.: S. 239-240,1,#
Marquard Schenk von Castell,#,#,1627,#,1627,Aufenthalt wegen schwankender Gesundheit,#,#,Siena,1,Italy,Siena Italy,43.318809,11.3307574,erwähnenswert?,Reiter: Marquard II.: S. 239-240,1,#
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,1754,#,1754,Aufschwörung,Domherr,Domkapitel Bamberg,Bamberg,4,Germany,Dom Bamberg Germany,49.8907746,10.882515,#,Hersche: Einleitung: S. 249,57,2
Johann Philipp Franz Graf von Schönborn,#,#,1694,#,1694,Aufschwörung,Domherr,Domkapitel Bamberg,Bamberg,4,Germany,Dom Bamberg Germany,49.8907746,10.882515,#,Germania Sacra online: Johann Philipp Franz Graf von Schönborn,57,2
Heinrich Ferdinand von der Leyen,#,#,02.06.1656,#,1656,Aufschwörung,Domherr,Domkapitel Eichstätt,Eichstätt,9,Germany,Dom Eichstätt Germany,48.8919581,11.1835667,#,Hersche: Einleitung: S. 90,57,2
Marquard Schenk von Castell,#,#,28.05.1621,#,1621,Aufschwörung,Domherr,Domkapitel Eichstätt,Eichstätt,9,Germany,Dom Eichstätt Germany,48.8919581,11.1835667,#,Reiter: Marquard II.: S. 239-240 / Braun: Domkapitel Eichstätt: S. 440,57,2
Hugo Wolfgang von Kesselstatt,#,#,1690,#,1690,Aufschwörung,Domherr,Domkapitel Halberstadt,Halberstadt,1,Germany,Dom Halberstadt Germany,51.8916475,11.0488695,#,De Theux de Montjardin: Chapitré Saint-Lambért: Bd. 3.: S. 345,57,1
Heinrich Wilhelm Harff von Dreyborn,#,#,18.04.1741,#,1741,Aufschwörung,Domherr,Domkapitel Hildesheim,Hildesheim,2,Germany,Dom Hildesheim Germany,52.1490222,9.9471512,#,Dylong: Domkapitel Hildesheim: S. 372.,57,1
Hugo Wolfgang von Kesselstatt,#,#,1681,#,1681,Aufschwörung,Domherr,Domkapitel Lüttich,Lüttich,2,Belgium,Dom Lüttich Belgium,50.6329586,5.5697498,#,Hersche: Einleitung: S. 121 / Theux: Bd. 3: S. 345,57,1
Adolph Hund von Saulheim,#,#,1610,#,1610,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,57,14
Christoph Rudolf von Stadion,#,#,24.09.1657,#,1657,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 168 / Wikipedia: Christoph,57,14
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,10.01.1755,#,1755,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S.177 / Hersche: Einleitung: S. 249 / Jürgensmeier: Bischofslexikon: S. 271,57,14
Dietrich Kaspar von Fürstenberg,#,#,17.09.1624,#,1624,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Lahrkamp et al.: Geschichte: S. 96,57,14
Heinrich Ferdinand von der Leyen,#,#,02.12.1664,#,1664,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Mainzer: S. 175 / Braun: Domkapitel: S. 350,57,14
Heinrich Wilhelm Harff von Dreyborn,#,#,25.05.1735,#,1735,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 177,57,14
Hugo Franz Karl von Eltz (-Kempenich),#,#,17.10.1712,#,1712,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 140 / Hersche: Einleitung: S. 130,57,14
Hugo Wolfgang von Kesselstatt,#,#,1687,#,1687,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Hersche: Einleitung: S. 130,57,14
Johann Heppenheim genannt von Saal,#,#,1636,#,1636,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Rauch: Domkapitel Mainz: S. 174: Hersche: Deutsche Domkapitel: S. 128,57,14
Johann Philipp Franz Graf von Schönborn,#,#,1687,#,1687,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,"Germania Sacra online: ""Johann Philipp Franz Graf von Schönborn""",57,14
Johann Wilhelm Wolff-Metternich zur Gracht,#,#,30.09.1630,#,1630,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,"Hersche: Deutsche Domkapitel: S. 128 hat 1631 als Datum für die Aufschwörung. Siehe Spalte ""source"" für die Begründung: warum diese Datum ausgewählt wurde","Rauch: Domkapitel Mainz: S. 154 / aus der Antwortmail auf eine Frage zu diesem Datum: ""im Findbuch zum Aktenbestand des Archivs Schloss Gracht findet sich bei Akte 505 der enthält-Vermerk: „zum Kanonikat Johann Wilhelm Wolff Metternichs am Dom zu Mainz 1630-1643“. Dies spricht also dafür: dass er bereits 1630 zum Domkapitel aufgeschwört wurde.""",57,14
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,27.01.1710,#,1710,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Hersche: Einleitung: S. 130,57,14
Lothar Friedrich von Metternich-Burscheid,#,#,1639,#,1639,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Hersche: Einleitung: S. 129 / Christ: Metternich-Burscheidt: S. 9,57,14
Marquard Schenk von Castell,#,#,09.12.1628,#,1628,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Reiter: Marquard II.: S. 239-240 / Braun: Das Domkapitel Eichstätt: S. 440,57,14
Hugo Franz Karl von Eltz (-Kempenich),#,#,1736,#,1736,Aufschwörung,Domherr,Domkapitel Minden,Minden,4,Germany,Dom Minden Germany,52.288856,8.9191982,#,Hersche: Einleitung: S. 205 / Schrader: S. 109,57,1
Johann Wilhelm Wolff-Metternich zur Gracht,#,#,1649,#,1649,Aufschwörung,Domherr,Domkapitel Münster,Münster,2,Germany,Dom Münster Germany,51.9629806,7.6257716,Laut Becker-Huberti: Die Tridentische Reform im Bistum Münster: S. 341 zurückdatiert auf 1642,Hersche: Deutsche Domkapitel: S. 135,57,1
Johann Wilhelm Wolff-Metternich zur Gracht,#,#,1644,#,1644,Aufschwörung,Domherr,Domkapitel Paderborn,Paderborn,1,Germany,Dom Paderborn Germany,51.7189529,8.75583,#,Hersche: Deutsche Domkapitel: S. 147,57,1
Dietrich Kaspar von Fürstenberg,#,#,1636,#,1636,Aufschwörung,Domherr,Domkapitel Speyer,Speyer,6,Germany,Dom Speyer Germany,49.3172765,8.4412172,#,Lahrkamp et al.: Geschichte: S. 96,57,2
Lothar Friedrich von Metternich-Burscheid,#,#,1627,#,1627,Aufschwörung,Domherr,Domkapitel Speyer,Speyer,6,Germany,Dom Speyer Germany,49.3172765,8.4412172,#,Hersche: Einleitung: S. 166,57,2
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,1749,#,1749,Aufschwörung,Domherr,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,#,Hersche: Einleitung: S. 249 / Jürgensmeier: Bischofslexikon: S. 271,57,6
Heinrich Ferdinand von der Leyen,#,#,09.07.1653,#,1653,Aufschwörung,Domherr,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,#,Wikipedia: Heinrich Ferdinand / Braun: Domkapitel: S. 350,57,6
Heinrich Wilhelm Harff von Dreyborn,#,#,1745,#,1745,Aufschwörung,Domherr,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,#,Hersche: Einleitung: S. 185.: Dylong: Domkapitel Hildesheim: S. 372,57,6
Hugo Franz Karl von Eltz (-Kempenich),#,#,1725,#,1725,Aufschwörung,Domherr,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,#,Hersche: Einleitung: S. 184 / Kurmainzer Hof- und Staatskalender 1779: S. 3,57,6
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,1687,#,1687,Aufschwörung,Domherr,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,#,Hersche: Einleitung: S. 184,57,6
Lothar Friedrich von Metternich-Burscheid,#,#,1625,#,1625,Aufschwörung,Domherr,Domkapitel Trier,Trier,12,Germany,Dom Trier Germany,49.7562639,6.6434155,#,Hersche: Einleitung: S. 182 / Christ: Metternich-Burscheidt: S. 9,57,6
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,1793,#,1793,Aufschwörung,Domherr,Domkapitel Worms,Worms,6,Germany,Dom Worms Germany,49.6341372,8.3507182,#,Hersche: Einleitung: S. 249 / Jürgensmeier: Bischofslexikon: S. 272,57,2
Johann Heppenheim genannt von Saal,#,#,1617,#,1617,Aufschwörung,Domherr,Domkapitel Worms,Worms,6,Germany,Dom Worms Germany,49.6341372,8.3507182,Wikipedia schreibt: ab 1617 tauche von Saal in den Domkapitelprotokollen auf: Herrsche nimmt 1617 als Eintrittsdatum in das Domkapitel Worms: was in Verbindung mit dem Alter die Vermutung naheliegt: es handelt sich bei diesem Ereignis um die Ernennung zum Domizellar,Hersche: Domkapitel: S. 128 / Wikipedia: Johann von Heppenheim genannt vom Saal,57,2
Adolph Hund von Saulheim,#,#,1613,#,1613,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225 / Hersche: S. 193,57,7
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,01.02.1755,#,1755,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Hersche: Einleitung: S. 249 / Jürgensmeier: Bischofslexikon: S. 271 / Salver: Proben: S. 738,57,7
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,1781,#,1781,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Jürgensmeier: Bischofslexikon: S. 271.,57,7
Johann Heppenheim genannt von Saal,#,#,15.10.1622,#,1622,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Wendehorst: Das Stift Neumünster in Würzburg: S. 321,57,7
Johann Philipp Franz Graf von Schönborn,#,#,1682,#,1682,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,Greipl: Schönborn: S. 442,57,7
Johann Philipp Franz Graf von Schönborn,#,#,1699,#,1699,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15,Germany,Dom Würzburg Germany,49.7933488,9.9325575,#,"Wendehorst: ""Johann Philipp Franz"": S. 546",57,7
Adolph Hund von Saulheim,#,#,04.04.1609,#,1609,Aufschwörung,Stiftsherr,Stift St. Burkhard,Würzburg,22,Germany,Germany,49.7911111,9.9245707,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,57,7
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,1754,#,1754,Aufschwörung,Domherr,Domkapitel Köln,Köln,1,Germany,Kölner Dom Köln Germany,50.9412784,6.9582814,#,Hersche: Einleitung: S. 249 / Robins: Adel: S. 277 / Jürgensmeier: Bischofslexikon: S. 272,57,1
Adolph Hund von Saulheim,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift Mariengreden,Mainz,3,Germany,Stift Mariengreden Mainz Germany,49.99928007,8.275409983,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,57,3
Christoph Rudolf von Stadion,1665,1674,#,#,#,Aufschwörung,Stiftsherr,Stift Mariengreden,Mainz,3,Germany,Stift Mariengreden Mainz Germany,49.99928007,8.275409983,#,Rauch: Sankt Bartholomäus: S. 177: FN 958: Dörr: Mariengreden: S. 85,57,3
Heinrich Wilhelm Harff von Dreyborn,,1775,,,,Aufschwörung,Stiftsherr,Stift Mariengreden,Mainz,3,Germany,Stift Mariengreden Mainz Germany,49.99928007,8.275409983,#,ohne Quellenangabe,57,3
Adolph Hund von Saulheim,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Alban,Mainz,7,Germany,Stift St. Alban Mainz Germany,49.99,8.28,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,57,5
Christoph Rudolf von Stadion,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Alban,Mainz,7,Germany,Stift St. Alban Mainz Germany,49.99,8.28,#,Rauch: Sankt Bartholomäus: S. 177: FN 958,57,5
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Alban,Mainz,7,Germany,Stift St. Alban Mainz Germany,49.99,8.28,#,Schrader: Cathedral Chapter Minden: S. 109 / Staatskalender 1779: S. 3.,57,5
Hugo Wolfgang von Kesselstatt,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Alban,Mainz,7,Germany,Stift St. Alban Mainz Germany,49.99,8.28,#,Wikipedia: Hugo Wolfgang von Kesselstatt,57,5
Johann Philipp Franz Graf von Schönborn,#,#,1682,#,1682,Aufschwörung,Stiftsherr,Stift St. Alban,Mainz,7,Germany,Stift St. Alban Mainz Germany,49.99,8.28,#,"Germania Sacra online: ""Johann Philipp Franz Graf von Schönborn""",57,5
Christoph Rudolf von Stadion,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Ferrutius,Bleidenstadt,2,Germany,Stift St. Ferrutius Bleidenstadt Germany,50.139647,8.13748,#,Joannis: S. 791,57,2
Hugo Wolfgang von Kesselstatt,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Ferrutius Bleidenstadt,Bleidenstadt,2,Germany,Stift St. Ferrutius Bleidenstadt Germany,50.139647,8.13748,Stiftsherren von Bleidenstadt verrichteten seit 1682 wegen Zerstörung ihrer Kirche ihren Chordienst in der St. Sebastianskapelle in Mainz am Höfchen aus: Noll/Burkhardt: S. 78,Wikipedia: Hugo Wolfgang von Kesselstatt,57,2
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,#,#,#,Aufschwörung,Stiftsherr,St. Ignaz,Mainz,1,Germany,Stift St. Ignaz Mainz Germany,49.9956325,8.2782727,#,Klassert: Kollegialstift St. Peter: S. 90,57,1
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Peter,Mainz,2,Germany,Stift St. Peter Mainz Germany,50.004825,8.26985,#,Kurzmainzer Hof- und Staatskalender 1740: S. 3.,57,2
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,18.06.1712,#,1712,Aufschwörung,Stiftsherr,Stift St. Peter,Mainz,2,Germany,Stift St. Peter Mainz Germany,50.004825,8.26985,#,Weidenbach: Breidbach-Bürresheim: S. 103 / Verzeichnis der Mainzer Universitätsmatrikeln: S. 108,57,2
Adolph Hund von Saulheim,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Viktor,Mainz,2,Germany,Stift St. Viktor Mainz Germany,49.981969943629636,8.29649529311655,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,57,1
Adolph Hund von Saulheim,#,#,1621,#,1621,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,3,Germany,Würzburg Germany,49.7913044,9.9533548,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,57,1
Damian Friedrich von der Leyen-Hohengeroldseck,#,#,#,#,#,Beisetzung,Begräbnis,,Würzburg,1,Germany,Allgemeiner Friedhof Würzburg Germany,49.7966264,9.9469374,Allgemeiner Friedhof,Jürgensmeier: Bischofslexikon: S. 272.,12,#
Marquard Schenk von Castell,#,#,08.02.1685,#,1685,Beisetzung,#,Dom Eichstätt,Eichstätt,9,Germany,Dom Eichstätt Germany,48.8919581,11.1835667,#,Braun: Das Domkapitel Eichstätt: S. 441,12,#
Christoph Rudolf von Stadion,17.01.1700,#,#,#,1700,Beisetzung,#,,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Arens: Mainzer Inschriften: S. 45f.,12,#
Heinrich Ferdinand von der Leyen,08.03.1714,#,#,#,1714,Beisetzung,#,Dom Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,Südquerhaus Dom: größtes Denkmal,Arens: Mainzer Inschriften: S. 55–57,12,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Beisetzung,,,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Nottarp: Mindener Domprobst: S. 145,12,#
Hugo Wolfgang von Kesselstatt,#,02.01.1738,#,#,1738,Beisetzung,#,Dom Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,Inschrift,Arens: Mainzer Inschriften: S. 66,12,#
Johann Heppenheim genannt von Saal,03.02.1672,#,#,#,#,Beisetzung,#,Dom Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Wendehorst: Das Stift Neumünster in Würzburg: S. 321,12,#
Johann Wilhelm Wolff-Metternich zur Gracht,#,#,17.12.1694,#,1694,Beisetzung,,Dom Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Arens: Mainzer Inschriften: S. 40ff.,12,#
Karl Emmerich Franz von Breidbach-Bürresheim,20.02.1743,,,,,Beisetzung,,Dom Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Arens: Mainzer Inschriften: S. 71,12,#
Lothar Friedrich von Metternich-Burscheid,03.06.1675,#,#,#,#,Beisetzung,,Dom Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Arens: Inschriften: S. 16,12,#
Adolph Hund von Saulheim,#,#,,#,1668,Beisetzung,#,,Mainz,1,Germany,Marienkapelle des Domes Mainz Germany,49.99771596594513,8.275730325428226,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,12,#
Johann Philipp Franz Graf von Schönborn,#,#,4.09.1724,#,1724,Beisetzung,Beisetzung,,Würzburg,1,Germany,Würzburger Dom,49.7933488,9.9325575,#,Greipl: Schönborn: S. 444 / Romberg: Bistümer der Kirchenprovinz Mainz: S. 346,12,#
Lothar Friedrich von Metternich-Burscheid,03.06.1675,,,,,Beisetzung des Herzens,,Speyrer Dom,Speyer,6,Germany,Dom Speyer Germany,49.3172765,8.4412172,#,ohne Quellenangabe,2,#
Johann Philipp Franz Graf von Schönborn,#,#,22.08.1724,#,1724,Beisetzung des Herzens,#,Schlosskirche Marienberg,Würzburg,3,Germany,Schlosskirche Marienberg Würzburg Germany,49.7897393,9.9201319,#,Romberg: Bistümer der Kirchenprovinz Mainz: S. 346,2,#
Marquard Schenk von Castell,#,#,06.03.1682,#,1682,Belehnung,Kanzler,Erzstift Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,Brauns Quelle ist StaN EU = Staatsarchiv Nürnberg Eichstätter Urkunden / allerdings keine Erwähnung bei May: Die Organisation von Gerichtsbarkeit und Verwaltung in der Erzdiözese Mainz vom hohen Mittelalter bis zum Ende der Reichskirche,Braun: Das Domkapitel Eichstätt: S. 441,1,#
Marquard Schenk von Castell,#,#,29.8.1669,#,1669,Bestellung durch Kaiser Leopold I.,Prinzipialkommissar,Immerwährender Reichstag,Regensburg,1,Germany,Immerwährender Reichstag Regensburg Germany,49.0134297,12.1016236,Angabe durch Kaiser Leopold I. lassen oder weg?,Reiter: Marquard II.: S. 239-240,1,#
Adolph Hund von Saulheim,#,#,04.11.1618,#,1618,Beurlaubung zum studium voluntarium,#,#,Mainz,12,Germany,Mainz Germany,49.9928617,8.2472526,#,Wendehorst: Bistümer der Kirchenprovinz Mainz: S. 225,1,#
Christoph Rudolf von Stadion,#,#,13.11.1669,#,1669,Ernennung,Generalvikar,Erzbistum Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Wurzbach: Stadion: S. 26 / Wikipedia: Christoph,16,#
